-8.000000000000000000e+00,-8.086585246756543555e+00
-6.222222222222222321e+00,-6.496626527581165433e+00
-4.444444444444444642e+00,-4.058795435622451819e+00
-2.666666666666666963e+00,-2.775026000075552890e+00
-8.888888888888892836e-01,-1.069424898127922186e+00
8.888888888888892836e-01,1.430559050368772844e+00
2.666666666666666075e+00,3.000850452535864132e+00
4.444444444444442865e+00,3.966090607632986931e+00
6.222222222222221433e+00,6.026366779504447990e+00
8.000000000000000000e+00,7.855223116418224905e+00
